seed,n_uncanny,n_stylized,n_human_conventional,n_human_unconventional,mean_dist_to_conventional_centroid,mean_dist_to_unconventional_centroid,centroid_closer_unconventional,centroid_closer_conventional,nn_closer_unconventional,nn_closer_conventional
0,10,7,18,18,23.977789,24.032825,3,7,9,1
1,10,7,18,18,23.741402,24.032825,2,8,0,10
2,10,7,18,18,24.02518,24.032825,5,5,7,3
3,10,7,18,18,23.923813,24.032825,5,5,6,4
4,10,7,18,18,23.863758,24.032825,4,6,0,10
5,10,7,18,18,24.08797,24.032825,6,4,10,0
6,10,7,18,18,24.02341,24.032825,6,4,10,0
7,10,7,18,18,23.846722,24.032825,4,6,0,10
8,10,7,18,18,23.836994,24.032825,4,6,0,10
9,10,7,18,18,23.92817,24.032825,4,6,7,3
10,10,7,18,18,23.712147,24.032825,3,7,9,1
11,10,7,18,18,23.80741,24.032825,3,7,1,9
12,10,7,18,18,24.02473,24.032825,6,4,7,3
13,10,7,18,18,23.937977,24.032825,5,5,5,5
14,10,7,18,18,23.871586,24.032825,5,5,1,9
15,10,7,18,18,24.019691,24.032825,5,5,6,4
16,10,7,18,18,24.063992,24.032825,5,5,8,2
17,10,7,18,18,23.973911,24.032825,4,6,6,4
18,10,7,18,18,23.902918,24.032825,3,7,1,9
19,10,7,18,18,23.680794,24.032825,2,8,7,3
20,10,7,18,18,23.685038,24.032825,4,6,1,9
21,10,7,18,18,24.040295,24.032825,5,5,7,3
22,10,7,18,18,23.845577,24.032825,4,6,6,4
23,10,7,18,18,24.150837,24.032825,6,4,6,4
24,10,7,18,18,24.05299,24.032825,4,6,6,4
25,10,7,18,18,23.678057,24.032825,2,8,1,9
26,10,7,18,18,24.06484,24.032825,4,6,6,4
27,10,7,18,18,23.867252,24.032825,2,8,6,4
28,10,7,18,18,23.776297,24.032825,3,7,0,10
29,10,7,18,18,23.879292,24.032825,4,6,1,9
30,10,7,18,18,24.10171,24.032825,6,4,5,5
31,10,7,18,18,23.723814,24.032825,4,6,1,9
32,10,7,18,18,24.00247,24.032825,4,6,8,2
33,10,7,18,18,23.854023,24.032825,4,6,9,1
34,10,7,18,18,23.886108,24.032825,2,8,5,5
35,10,7,18,18,23.773079,24.032825,3,7,0,10
36,10,7,18,18,23.808538,24.032825,4,6,6,4
37,10,7,18,18,23.787615,24.032825,3,7,1,9
38,10,7,18,18,24.065166,24.032825,6,4,1,9
39,10,7,18,18,23.96034,24.032825,5,5,0,10
40,10,7,18,18,23.905352,24.032825,3,7,1,9
41,10,7,18,18,23.671825,24.032825,2,8,1,9
42,10,7,18,18,23.98553,24.032825,5,5,5,5
43,10,7,18,18,23.931997,24.032825,5,5,1,9
44,10,7,18,18,23.955187,24.032825,4,6,0,10
45,10,7,18,18,23.954254,24.032825,5,5,0,10
46,10,7,18,18,23.923004,24.032825,4,6,6,4
47,10,7,18,18,23.932945,24.032825,4,6,1,9
48,10,7,18,18,23.989384,24.032825,4,6,1,9
49,10,7,18,18,23.776297,24.032825,3,7,0,10
50,10,7,18,18,23.944485,24.032825,5,5,6,4
51,10,7,18,18,23.737741,24.032825,2,8,7,3
52,10,7,18,18,23.8905,24.032825,6,4,1,9
53,10,7,18,18,23.952824,24.032825,4,6,5,5
54,10,7,18,18,23.746666,24.032825,2,8,7,3
55,10,7,18,18,23.948095,24.032825,5,5,6,4
56,10,7,18,18,23.961233,24.032825,4,6,7,3
57,10,7,18,18,24.006947,24.032825,3,7,0,10
58,10,7,18,18,24.127653,24.032825,5,5,6,4
59,10,7,18,18,23.825483,24.032825,3,7,1,9
60,10,7,18,18,23.979588,24.032825,5,5,7,3
61,10,7,18,18,23.795525,24.032825,3,7,0,10
62,10,7,18,18,23.845097,24.032825,4,6,6,4
63,10,7,18,18,23.790398,24.032825,2,8,6,4
64,10,7,18,18,23.90707,24.032825,5,5,0,10
65,10,7,18,18,24.007412,24.032825,5,5,6,4
66,10,7,18,18,23.886646,24.032825,4,6,5,5
67,10,7,18,18,23.918585,24.032825,5,5,1,9
68,10,7,18,18,24.023941,24.032825,4,6,8,2
69,10,7,18,18,24.09737,24.032825,7,3,6,4
70,10,7,18,18,23.809505,24.032825,2,8,9,1
71,10,7,18,18,23.748322,24.032825,4,6,5,5
72,10,7,18,18,23.872044,24.032825,3,7,5,5
73,10,7,18,18,24.058905,24.032825,5,5,6,4
74,10,7,18,18,24.097927,24.032825,5,5,8,2
75,10,7,18,18,24.025196,24.032825,5,5,7,3
76,10,7,18,18,23.838917,24.032825,3,7,0,10
77,10,7,18,18,23.919235,24.032825,5,5,1,9
78,10,7,18,18,24.01127,24.032825,3,7,6,4
79,10,7,18,18,23.85685,24.032825,4,6,7,3
80,10,7,18,18,23.878887,24.032825,3,7,0,10
81,10,7,18,18,23.790646,24.032825,3,7,6,4
82,10,7,18,18,24.003128,24.032825,5,5,1,9
83,10,7,18,18,23.934973,24.032825,5,5,0,10
84,10,7,18,18,23.86148,24.032825,3,7,5,5
85,10,7,18,18,24.010757,24.032825,5,5,6,4
86,10,7,18,18,23.864346,24.032825,4,6,5,5
87,10,7,18,18,23.66774,24.032825,2,8,1,9
88,10,7,18,18,23.813389,24.032825,4,6,9,1
89,10,7,18,18,23.963524,24.032825,5,5,5,5
90,10,7,18,18,23.899784,24.032825,3,7,0,10
91,10,7,18,18,23.91705,24.032825,4,6,9,1
92,10,7,18,18,23.828396,24.032825,3,7,1,9
93,10,7,18,18,24.211315,24.032825,5,5,0,10
94,10,7,18,18,23.904484,24.032825,3,7,7,3
95,10,7,18,18,23.885927,24.032825,4,6,1,9
96,10,7,18,18,23.987339,24.032825,5,5,7,3
97,10,7,18,18,23.7357,24.032825,2,8,0,10
98,10,7,18,18,23.778133,24.032825,3,7,6,4
99,10,7,18,18,24.01292,24.032825,4,6,1,9
