uncanny_path,dist_to_conventional_centroid,dist_to_unconventional_centroid,closer_to
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,23.647661,23.492655,human_unconventional
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,24.303215,24.746653,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,21.708138,22.714094,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,22.7907,23.62033,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,21.017607,21.890924,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,31.868904,31.395042,human_unconventional
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,23.859238,24.7269,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,22.375387,22.616238,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,23.71056,23.609264,human_unconventional
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,21.11137,21.516142,human_conventional
